time,measurement_value
2025-02-24T00:00:00Z,1473.0
2025-02-24T00:01:00Z,1585.0
2025-02-24T00:02:00Z,1413.0
2025-02-24T00:03:00Z,1550.0
2025-02-24T00:04:00Z,1318.0
2025-02-24T00:05:00Z,1326.0
2025-02-24T00:06:00Z,1130.0
2025-02-24T00:07:00Z,1152.0
2025-02-24T00:08:00Z,1102.0
2025-02-24T00:09:00Z,1182.0
2025-02-24T00:10:00Z,1246.0
2025-02-24T00:11:00Z,1374.0
2025-02-24T00:12:00Z,1383.0
2025-02-24T00:13:00Z,1442.0
2025-02-24T00:14:00Z,1460.0
2025-02-24T00:15:00Z,1251.0
2025-02-24T00:16:00Z,1330.0
2025-02-24T00:17:00Z,1378.0
2025-02-24T00:18:00Z,1136.0
2025-02-24T00:19:00Z,1339.0
2025-02-24T00:20:00Z,1322.0
2025-02-24T00:21:00Z,1288.0
2025-02-24T00:22:00Z,1140.0
2025-02-24T00:23:00Z,1076.0
2025-02-24T00:24:00Z,941.0
2025-02-24T00:25:00Z,1115.0
2025-02-24T00:26:00Z,1432.0
2025-02-24T00:27:00Z,1023.0
2025-02-24T00:28:00Z,976.0
2025-02-24T00:29:00Z,1062.0
2025-02-24T00:30:00Z,1107.0
2025-02-24T00:31:00Z,957.0
2025-02-24T00:32:00Z,1067.0
2025-02-24T00:33:00Z,1166.0
2025-02-24T00:34:00Z,1052.0
2025-02-24T00:35:00Z,870.0
2025-02-24T00:36:00Z,851.0
2025-02-24T00:37:00Z,741.0
2025-02-24T00:38:00Z,543.0
2025-02-24T00:39:00Z,789.0
2025-02-24T00:40:00Z,654.0
2025-02-24T00:41:00Z,805.0
2025-02-24T00:42:00Z,733.0
2025-02-24T00:43:00Z,859.0
2025-02-24T00:44:00Z,688.0
2025-02-24T00:45:00Z,873.0
2025-02-24T00:46:00Z,848.0
2025-02-24T00:47:00Z,824.0
2025-02-24T00:48:00Z,791.0
2025-02-24T00:49:00Z,673.0
2025-02-24T00:50:00Z,708.0
2025-02-24T00:51:00Z,770.0
2025-02-24T00:52:00Z,744.0
2025-02-24T00:53:00Z,855.0
2025-02-24T00:54:00Z,764.0
2025-02-24T00:55:00Z,788.0
2025-02-24T00:56:00Z,685.0
2025-02-24T00:57:00Z,868.0
2025-02-24T00:58:00Z,804.0
2025-02-24T00:59:00Z,620.0
2025-02-24T01:00:00Z,744.0
2025-02-24T01:01:00Z,638.0
2025-02-24T01:02:00Z,573.0
2025-02-24T01:03:00Z,727.0
2025-02-24T01:04:00Z,719.0
2025-02-24T01:05:00Z,828.0
2025-02-24T01:06:00Z,777.0
2025-02-24T01:07:00Z,792.0
2025-02-24T01:08:00Z,744.0
2025-02-24T01:09:00Z,751.0
2025-02-24T01:10:00Z,792.0
2025-02-24T01:11:00Z,746.0
2025-02-24T01:12:00Z,501.0
2025-02-24T01:13:00Z,635.0
2025-02-24T01:14:00Z,751.0
2025-02-24T01:15:00Z,521.0
2025-02-24T01:16:00Z,555.0
2025-02-24T01:17:00Z,582.0
2025-02-24T01:18:00Z,515.0
2025-02-24T01:19:00Z,658.0
2025-02-24T01:20:00Z,582.0
2025-02-24T01:21:00Z,679.0
2025-02-24T01:22:00Z,612.0
2025-02-24T01:23:00Z,565.0
2025-02-24T01:24:00Z,712.0
2025-02-24T01:25:00Z,555.0
2025-02-24T01:26:00Z,547.0
2025-02-24T01:27:00Z,584.0
2025-02-24T01:28:00Z,579.0
2025-02-24T01:29:00Z,386.0
2025-02-24T01:30:00Z,461.0
2025-02-24T01:31:00Z,366.0
2025-02-24T01:32:00Z,469.0
2025-02-24T01:33:00Z,601.0
2025-02-24T01:34:00Z,623.0
2025-02-24T01:35:00Z,532.0
2025-02-24T01:36:00Z,504.0
2025-02-24T01:37:00Z,539.0
2025-02-24T01:38:00Z,586.0
2025-02-24T01:39:00Z,601.0
2025-02-24T01:40:00Z,569.0
2025-02-24T01:41:00Z,568.0
2025-02-24T01:42:00Z,418.0
2025-02-24T01:43:00Z,333.0
2025-02-24T01:44:00Z,444.0
2025-02-24T01:45:00Z,412.0
2025-02-24T01:46:00Z,589.0
2025-02-24T01:47:00Z,559.0
2025-02-24T01:48:00Z,460.0
2025-02-24T01:49:00Z,528.0
2025-02-24T01:50:00Z,450.0
2025-02-24T01:51:00Z,415.0
2025-02-24T01:52:00Z,335.0
2025-02-24T01:53:00Z,329.0
2025-02-24T01:54:00Z,122.0
2025-02-24T01:55:00Z,256.0
2025-02-24T01:56:00Z,160.0
2025-02-24T01:57:00Z,152.0
2025-02-24T01:58:00Z,212.0
2025-02-24T01:59:00Z,259.0
2025-02-24T02:00:00Z,287.0
2025-02-24T02:01:00Z,233.0
2025-02-24T02:02:00Z,193.0
2025-02-24T02:03:00Z,167.0
2025-02-24T02:04:00Z,302.0
2025-02-24T02:05:00Z,370.0
2025-02-24T02:06:00Z,341.0
2025-02-24T02:07:00Z,296.0
2025-02-24T02:08:00Z,401.0
2025-02-24T02:09:00Z,234.0
2025-02-24T02:10:00Z,263.0
2025-02-24T02:11:00Z,240.0
2025-02-24T02:12:00Z,311.0
2025-02-24T02:13:00Z,244.0
2025-02-24T02:14:00Z,350.0
2025-02-24T02:15:00Z,345.0
2025-02-24T02:16:00Z,309.0
2025-02-24T02:17:00Z,316.0
2025-02-24T02:18:00Z,323.0
2025-02-24T02:19:00Z,417.0
2025-02-24T02:20:00Z,240.0
2025-02-24T02:21:00Z,244.0
2025-02-24T02:22:00Z,360.0
2025-02-24T02:23:00Z,206.0
2025-02-24T02:24:00Z,257.0
2025-02-24T02:25:00Z,407.0
2025-02-24T02:26:00Z,310.0
2025-02-24T02:27:00Z,321.0
2025-02-24T02:28:00Z,423.0
2025-02-24T02:29:00Z,235.0
2025-02-24T02:30:00Z,247.0
2025-02-24T02:31:00Z,282.0
2025-02-24T02:32:00Z,278.0
2025-02-24T02:33:00Z,257.0
2025-02-24T02:34:00Z,228.0
2025-02-24T02:35:00Z,219.0
2025-02-24T02:36:00Z,233.0
2025-02-24T02:37:00Z,220.0
2025-02-24T02:38:00Z,239.0
2025-02-24T02:39:00Z,219.0
2025-02-24T02:40:00Z,276.0
